Concentration_liquide_chimique_kg,Temperature_C,Temps_reaction_min,Heating_rate_C_min,Taille_particules_mm,Solid_Yield_pct,Liquid_Yield_pct,Gas_Yield_pct,HBr_pct,Br2_pct,HCl_pct,Cl2_pct,HF_pct,Toxicity_Index_pct,Propylene_ppb,1_3_Butadiene_ppb,Chloromethane_ppb,Bromomethane_ppb,Chloroethane_ppb,n_Hexane_ppb,Vinyl_chloride_ppb,HF_gas_ppm,HCl_gas_ppm,F2_upper_bound_ppm,HBr_upper_bound_ppm,Cout_liquide_USD,Valuable_Yield_pct,VOC_Total_ppm,Halogenated_VOC_Total_ppm,Hydrocarbon_VOC_Total_ppm,Inorganic_Halogen_Upper_Total_ppm
46.33,509.06,26.07,18.39,2.17,26.43,56.55,17.02,2.31,0.19,0.27,0.08,0.03,2.88,1064024.584,263561.603,154587.438,11170.358,1605.398,890.0,390.0,18.501316,2.261272,0.660806,0.154876,926.6,73.57,1496.229381,167.75319399999998,1328.476187,21.578270000000003
43.79,441.62,18.75,20.5,2.08,24.65,54.86,20.49,1.45,0.14,0.25,0.04,0.02,1.89,810755.497,199831.522,135327.304,8413.523,1416.345,890.0,390.0,14.769668,1.805182,0.505933,0.118578,875.8,75.35,1157.024191,145.547172,1011.477019,17.199360999999996
27.25,384.71,16.68,21.91,2.75,36.0,48.26,15.74,0.71,0.06,0.09,0.02,0.01,0.89,597031.539,146052.179,119074.423,6087.137,1256.811,890.0,390.0,11.620676,1.420305,0.375242,0.087947,545.0,64.0,870.7820889999999,126.808371,743.973718,13.504169999999998
58.78,537.09,27.78,9.69,2.86,25.57,55.59,18.83,3.36,0.27,0.52,0.16,0.04,4.35,1169290.487,290049.655,162592.503,12316.177,1683.973,890.0,390.0,20.052295,2.450836,0.725175,0.169963,1175.6,74.42,1637.212795,176.982653,1460.230142,23.398269
16.19,382.85,11.65,24.6,2.41,31.03,52.57,16.41,0.87,0.04,0.07,0.02,0.01,1.01,590046.359,144294.499,118543.228,6011.104,1251.597,890.0,390.0,11.517757,1.407726,0.370971,0.086946,323.8,68.98,861.426787,126.195929,735.230858,13.3834
63.56,465.25,16.75,23.5,2.45,23.2,54.09,22.71,2.09,0.13,0.19,0.06,0.02,2.49,899497.32,222161.62,142075.776,9379.478,1482.586,890.0,390.0,16.077183,1.964989,0.560198,0.131297,1271.2,76.80000000000001,1275.8767799999998,153.32784000000004,1122.54894,18.733667
44.92,477.64,25.08,10.92,3.66,24.74,55.8,19.46,2.19,0.13,0.24,0.04,0.03,2.63,946027.628,233870.038,145614.226,9885.961,1517.319,890.0,390.0,16.762757,2.048782,0.588651,0.137965,898.4000000000001,75.25999999999999,1338.1951719999995,157.40750599999998,1180.787666,19.538155
56.79,526.66,18.05,4.43,2.79,27.15,57.7,15.15,3.48,0.27,0.37,0.09,0.03,4.25,1130120.905,280193.416,159613.808,11889.816,1654.735,890.0,390.0,19.475174,2.380299,0.701223,0.164349,1135.8,72.85000000000001,1584.75268,173.54835899999998,1411.204321,22.721045
52.14,439.65,25.26,23.91,1.67,22.23,56.73,21.04,1.07,0.12,0.2,0.04,0.02,1.45,803357.215,197969.893,134764.693,8332.993,1410.823,890.0,390.0,14.660663,1.791859,0.501409,0.117518,1042.8,77.77,1147.1156170000002,144.898509,1002.217108,17.071448999999998
61.45,485.08,27.2,16.34,1.43,28.57,53.03,18.39,1.84,0.21,0.35,0.06,0.03,2.49,973968.346,240900.759,147739.009,10190.095,1538.175,890.0,390.0,17.174434,2.099098,0.605737,0.14197,1229.0,71.42,1375.6163840000002,159.85727899999998,1215.759105,20.021239000000005
62.28,488.87,29.33,19.81,1.73,23.15,57.12,19.73,2.67,0.19,0.32,0.08,0.03,3.29,988201.588,244482.269,148821.392,10345.024,1548.8,890.0,390.0,17.384145,2.124729,0.614441,0.14401,1245.6,76.85,1394.679073,161.10521599999998,1233.573857,20.267325
65.3,529.17,21.38,14.57,1.4,29.7,52.19,18.11,3.04,0.3,0.51,0.12,0.04,4.01,1139547.142,282565.339,160330.636,11992.421,1661.771,890.0,390.0,19.614059,2.397274,0.706987,0.1657,1306.0,70.3,1597.377309,174.374828,1423.002481,22.884020000000003
75.03,534.91,35.31,11.34,1.82,24.96,53.74,21.3,3.46,0.26,0.46,0.08,0.04,4.3,1161103.556,287989.578,161969.918,12227.063,1677.862,890.0,390.0,19.93167,2.436093,0.720169,0.16879,1500.6,75.04,1626.2479770000002,176.26484299999998,1449.983134,23.256722
71.92,569.36,33.62,7.76,2.37,29.63,54.85,15.52,4.34,0.28,0.57,0.15,0.03,5.38,1290479.595,320544.461,171808.466,13635.321,1774.435,890.0,390.0,21.837886,2.669075,0.799282,0.187332,1438.4,70.37,1799.522278,187.608222,1611.9140559999998,25.493575000000003
52.84,465.59,22.57,11.19,3.57,31.09,51.06,17.85,1.79,0.17,0.27,0.04,0.02,2.29,900774.18,222482.917,142172.876,9393.377,1483.539,890.0,390.0,16.095997,1.967289,0.560979,0.13148,1056.8000000000002,68.91,1277.5868890000002,153.43979199999998,1124.147097,18.755745
46.12,412.56,23.33,15.89,1.93,21.59,57.53,20.88,1.38,0.09,0.14,0.05,0.02,1.69,701621.457,172370.132,127028.082,7225.599,1334.882,890.0,390.0,13.161696,1.608652,0.439198,0.102937,922.4,78.41,1010.860152,135.978563,874.8815890000001,15.312483
67.74,542.09,34.55,11.08,1.51,27.73,52.82,19.45,3.74,0.28,0.43,0.1,0.04,4.59,1188067.851,294774.601,164020.449,12520.569,1697.99,890.0,390.0,20.32896,2.48465,0.736658,0.172654,1354.8,72.27,1662.36146,178.62900799999997,1483.732452,23.722922
20.29,399.34,14.91,29.64,3.05,32.9,50.12,16.97,0.81,0.08,0.12,0.0,0.01,1.03,651974.106,159877.373,123252.593,6685.187,1297.823,890.0,390.0,12.430195,1.519246,0.408839,0.095822,405.8,67.09,944.367082,131.625603,812.741479,14.454102
56.56,398.62,22.8,9.47,2.8,42.76,45.29,11.95,1.01,0.1,0.13,0.06,0.01,1.31,649270.166,159196.981,123046.969,6655.755,1295.804,890.0,390.0,12.390356,1.514377,0.407186,0.095434,1131.2,57.24,940.745675,131.38852799999998,809.3571469999999,14.407353
73.57,532.3,25.87,6.42,2.04,28.03,51.09,20.88,4.05,0.19,0.41,0.14,0.06,4.84,1151301.772,285523.156,161224.531,12120.37,1670.546,890.0,390.0,19.787251,2.418442,0.714175,0.167385,1471.4,71.97,1613.1203750000002,175.40544699999998,1437.714928,23.087253
22.53,417.3,14.07,15.09,3.5,30.75,53.23,16.02,1.06,0.07,0.09,0.0,0.01,1.22,719422.398,176849.382,128381.775,7419.362,1348.17,890.0,390.0,13.423973,1.640708,0.450084,0.105488,450.6,69.25,1034.701087,137.539307,897.16178,15.620253
64.66,463.48,28.53,14.35,1.77,32.09,51.86,16.05,2.35,0.19,0.3,0.09,0.04,2.96,892850.133,220488.989,141570.283,9307.123,1477.625,890.0,390.0,15.979244,1.953019,0.556134,0.130344,1293.1999999999998,67.91,1266.974153,152.74503099999998,1114.229122,18.618741
48.48,443.5,25.05,9.2,2.48,27.37,57.28,15.35,1.91,0.12,0.26,0.04,0.02,2.35,817815.786,201608.102,135864.211,8490.374,1421.615,890.0,390.0,14.873694,1.817896,0.510251,0.11959,969.6,72.63,1166.480088,146.1662,1020.313888,17.321431
48.74,437.41,21.45,5.54,2.98,30.16,53.41,16.43,1.65,0.1,0.16,0.0,0.01,1.92,794944.956,195853.117,134124.973,8241.425,1404.543,890.0,390.0,14.536717,1.77671,0.496265,0.116312,974.8,69.84,1135.849014,144.16094099999998,991.688073,16.926004000000002
15.93,401.21,8.0,22.76,2.91,27.01,53.75,19.24,1.0,0.06,0.15,0.01,0.01,1.23,658996.84,161644.503,123786.645,6761.63,1303.065,890.0,390.0,12.533668,1.531893,0.413134,0.096828,318.6,72.99,953.772683,132.24134,821.531343,14.575523
71.63,466.27,23.85,14.15,2.08,32.75,47.94,19.31,2.3,0.2,0.21,0.09,0.03,2.84,903327.902,223125.51,142367.077,9421.174,1485.446,890.0,390.0,16.133623,1.971887,0.562541,0.131846,1432.6,67.25,1281.007109,153.66369699999998,1127.343412,18.799897
48.87,482.46,17.44,26.03,2.34,22.12,57.21,20.68,2.46,0.15,0.24,0.06,0.02,2.93,964129.007,238424.887,146990.766,10082.994,1530.831,890.0,390.0,17.029462,2.081379,0.59972,0.140559,977.4,77.89,1362.438485,158.994591,1203.4438939999998,19.85112
22.34,401.9,14.87,26.07,2.93,27.3,51.23,21.47,1.3,0.07,0.12,0.02,0.01,1.51,661588.116,162296.546,123983.701,6789.836,1304.999,890.0,390.0,12.571847,1.53656,0.414718,0.0972,446.8,72.69999999999999,957.243198,132.468536,824.774662,14.620325
44.57,473.3,19.94,10.72,4.45,25.33,55.45,19.22,2.29,0.12,0.28,0.06,0.02,2.76,929728.876,229768.785,144374.769,9708.549,1505.153,890.0,390.0,16.522613,2.019431,0.578685,0.135629,891.4,74.67,1316.366132,155.97847099999998,1160.387661,19.256358
52.29,463.2,21.26,8.55,2.69,25.11,58.18,16.71,1.87,0.12,0.24,0.06,0.02,2.31,891798.6,220224.392,141490.318,9295.677,1476.84,890.0,390.0,15.963751,1.951125,0.555491,0.130193,1045.8,74.89,1265.565827,152.65283499999998,1112.912992,18.60056
53.28,556.16,19.41,12.72,2.67,21.21,57.48,21.31,3.29,0.22,0.43,0.1,0.03,4.07,1240907.354,308070.601,168038.688,13095.727,1737.432,890.0,390.0,21.107493,2.579804,0.768969,0.180227,1065.6,78.78999999999999,1733.1298020000002,183.261847,1549.8679550000002,24.636493
47.7,511.95,18.36,17.59,1.25,18.45,60.84,20.71,2.63,0.14,0.28,0.06,0.03,3.14,1074877.9,266292.623,155412.791,11288.496,1613.499,890.0,390.0,18.661228,2.280817,0.667443,0.156432,954.0,81.55000000000001,1510.765309,168.704786,1342.060523,21.76592
57.72,572.25,30.12,6.28,2.62,25.5,55.95,18.55,4.11,0.25,0.57,0.14,0.04,5.11,1301332.911,323275.48,172633.818,13753.459,1782.536,890.0,390.0,21.997798,2.68862,0.805919,0.188887,1154.4,74.5,1814.058204,188.559813,1625.498391,25.681224
65.84,483.47,22.93,12.55,2.1,31.34,51.97,16.68,2.99,0.18,0.46,0.08,0.03,3.74,967922.034,239379.326,147279.211,10124.281,1533.662,890.0,390.0,17.085348,2.088209,0.60204,0.141103,1316.8000000000002,68.65,1367.518514,159.327154,1208.1913599999998,19.9167
52.48,466.69,21.78,11.55,2.41,23.32,56.57,20.11,2.2,0.12,0.25,0.04,0.03,2.65,904905.2,223522.405,142487.024,9438.343,1486.623,890.0,390.0,16.156863,1.974728,0.563505,0.132072,1049.6,76.68,1283.119595,153.80199,1129.317605,18.827168
52.16,478.68,24.76,14.51,2.76,27.25,51.69,21.06,2.88,0.17,0.31,0.08,0.03,3.46,949933.319,234852.827,145911.239,9928.474,1520.234,890.0,390.0,16.820304,2.055815,0.59104,0.138525,1043.1999999999998,72.75,1343.4260929999998,157.749947,1185.676146,19.605684
25.47,393.46,15.8,32.85,2.58,22.92,57.58,19.49,1.21,0.04,0.13,0.01,0.01,1.39,629891.926,154320.836,121573.329,6444.823,1281.34,890.0,390.0,12.104838,1.479481,0.395336,0.092657,509.4,77.07,914.792254,129.689492,785.102762,14.072312000000002
28.12,350.0,19.6,18.49,4.48,27.49,53.7,18.81,0.45,0.04,0.13,0.0,0.0,0.62,466679.077,113251.599,109161.623,4668.251,1159.51,890.0,390.0,9.700073,1.185565,0.295533,0.069266,562.4,72.51,696.20006,115.379384,580.8206759999999,11.250437000000002
68.27,491.87,29.56,11.93,0.5,20.01,60.81,19.18,3.11,0.18,0.33,0.09,0.04,3.75,999468.006,247317.237,149678.16,10467.659,1557.209,890.0,390.0,17.550144,2.145018,0.62133,0.145624,1365.4,79.99000000000001,1409.768271,162.09302800000003,1247.675243,20.462116
55.46,464.8,25.64,15.61,2.69,23.67,57.06,19.27,2.26,0.13,0.22,0.07,0.03,2.71,897807.357,221736.375,141947.261,9361.083,1481.325,890.0,390.0,16.052284,1.961946,0.559165,0.131054,1109.2,76.33,1273.6134009999998,153.17966900000002,1120.4337319999995,18.704449
59.42,474.91,27.72,14.87,2.05,25.1,54.81,20.09,2.83,0.18,0.31,0.08,0.03,3.42,935775.187,231290.217,144834.567,9774.363,1509.666,890.0,390.0,16.611699,2.030319,0.582382,0.136496,1188.4,74.9,1324.464,156.508596,1167.955404,19.360896
17.43,359.66,16.31,22.61,3.41,38.7,45.61,15.69,0.62,0.06,0.08,0.01,0.0,0.77,502956.944,122380.196,111920.414,5063.135,1186.589,890.0,390.0,10.234588,1.250895,0.317716,0.074465,348.6,61.3,744.787278,118.560138,626.22714,11.877664
48.33,448.54,21.69,4.61,2.99,25.58,56.03,18.39,1.68,0.1,0.16,0.04,0.03,2.02,836743.369,206370.849,137303.581,8696.401,1435.744,890.0,390.0,15.152572,1.851981,0.521825,0.122303,966.6,74.42,1191.8299439999998,147.82572600000003,1044.0042179999998,17.648680999999996
71.75,517.95,29.5,6.03,1.77,24.97,55.29,19.74,3.26,0.22,0.37,0.12,0.04,4.0,1097410.737,271962.559,157126.326,11533.766,1630.319,890.0,390.0,18.993225,2.321394,0.681221,0.159661,1435.0,75.03,1540.943707,170.680411,1370.263296,22.155501
34.88,405.46,18.99,27.76,0.69,25.88,55.73,18.39,1.09,0.1,0.13,0.03,0.01,1.37,674957.6,165660.708,125000.399,6935.363,1314.979,890.0,390.0,12.768832,1.560635,0.422894,0.099116,697.6,74.12,975.149049,133.64074100000002,841.5083079999999,14.851477
23.79,406.88,8.0,21.31,3.83,23.84,53.54,22.62,1.17,0.06,0.17,0.03,0.01,1.43,680290.371,167002.593,125405.936,6993.41,1318.959,890.0,390.0,12.847405,1.570239,0.426155,0.09988,475.8,76.16,982.291269,134.108305,848.1829640000001,14.943679
53.22,494.25,21.62,18.15,3.33,24.14,52.81,23.05,1.96,0.18,0.2,0.07,0.02,2.44,1008406.031,249566.311,150357.862,10564.95,1563.881,890.0,390.0,17.681836,2.161113,0.626795,0.146905,1064.4,75.86,1421.7390349999998,162.876693,1258.862342,20.616649
77.26,516.77,27.96,11.76,3.23,26.01,50.24,23.75,3.07,0.24,0.43,0.15,0.03,3.92,1092979.279,270847.471,156789.331,11485.53,1627.011,890.0,390.0,18.927932,2.313414,0.678511,0.159026,1545.2,73.99000000000001,1535.008622,170.291872,1364.71675,22.078883
47.3,471.98,18.77,9.71,3.17,26.94,54.23,18.84,2.0,0.17,0.23,0.04,0.02,2.45,924771.652,228521.399,143997.791,9654.589,1501.452,890.0,390.0,16.449574,2.010504,0.575653,0.134919,946.0,73.07,1309.7268829999998,155.543832,1154.183051,19.17065
59.1,495.96,23.73,11.73,2.47,25.47,56.0,18.53,3.26,0.19,0.47,0.08,0.03,4.02,1014827.89,251182.243,150846.22,10634.852,1568.675,890.0,390.0,17.776455,2.172678,0.630722,0.147826,1182.0,74.53,1430.33988,163.439747,1266.900133,20.727681
25.95,366.97,9.06,20.6,1.69,33.91,51.83,14.26,0.38,0.05,0.13,0.02,0.01,0.58,530409.451,129288.068,114008.071,5361.956,1207.081,890.0,390.0,10.639071,1.300331,0.334503,0.078399,519.0,66.09,781.554627,120.967108,660.5875189999999,12.352303999999998
45.97,451.46,15.36,28.63,0.5,23.48,56.71,19.82,2.01,0.15,0.18,0.05,0.02,2.41,847709.349,209130.217,138137.501,8815.766,1443.929,890.0,390.0,15.314143,1.871729,0.52853,0.123874,919.4,76.53,1206.5167620000002,148.787196,1057.7295660000002,17.838276
24.01,375.14,16.44,17.9,4.87,33.89,52.73,13.38,0.92,0.05,0.07,0.0,0.0,1.04,561091.664,137008.631,116341.335,5695.932,1229.984,890.0,390.0,11.09114,1.355584,0.353265,0.082797,480.2000000000001,66.11,822.6475459999999,123.657251,698.990295,12.882786
61.36,553.62,24.36,12.29,1.8,19.42,59.99,20.59,4.3,0.32,0.47,0.11,0.03,5.24,1231368.453,305670.328,167313.292,12991.896,1730.311,890.0,390.0,20.966947,2.562627,0.763136,0.17886,1227.2,80.58,1720.3542799999998,182.425499,1537.928781,24.47157
47.98,515.61,22.71,19.92,2.18,18.21,64.33,17.46,2.52,0.18,0.34,0.11,0.02,3.17,1088622.931,269751.284,156458.047,11438.111,1623.759,890.0,390.0,18.863746,2.305569,0.675848,0.158402,959.6,81.78999999999999,1529.1741320000003,169.90991699999998,1359.264215,22.003564999999995
39.57,513.82,21.01,24.79,1.7,19.12,61.0,19.88,2.24,0.22,0.37,0.09,0.02,2.95,1081900.634,268059.753,155946.842,11364.939,1618.741,890.0,390.0,18.7647,2.293463,0.671737,0.157438,791.4,80.88,1520.170909,169.32052200000004,1350.8503870000002,21.887338
45.06,437.39,14.09,22.47,1.77,26.32,54.21,19.47,1.8,0.09,0.17,0.03,0.02,2.11,794869.847,195834.217,134119.261,8240.608,1404.487,890.0,390.0,14.53561,1.776575,0.496219,0.116301,901.2,73.68,1135.74842,144.154356,991.594064,16.924705
57.06,543.61,26.35,16.61,2.17,22.21,58.43,19.36,3.86,0.23,0.52,0.09,0.03,4.73,1193776.17,296210.985,164454.544,12582.704,1702.251,890.0,390.0,20.413066,2.49493,0.740148,0.173472,1141.2,77.78999999999999,1670.0066539999996,179.12949899999998,1490.877155,23.821616
48.41,523.31,23.15,13.33,2.38,31.58,50.26,18.17,2.6,0.17,0.33,0.1,0.02,3.23,1117540.071,277027.702,158657.084,11752.874,1645.344,890.0,390.0,19.289809,2.357643,0.69353,0.162546,968.2,68.43,1567.9030750000002,172.44530200000003,1395.457773,22.503528
48.86,426.48,22.61,6.72,2.06,33.34,50.62,16.05,1.87,0.15,0.16,0.05,0.03,2.26,753897.638,185524.384,131003.483,7794.625,1373.904,890.0,390.0,13.931929,1.702792,0.471165,0.110429,977.2,66.67,1080.874034,140.562012,940.312022,16.216315
25.14,369.86,19.04,24.41,3.93,29.77,49.38,20.85,0.58,0.08,0.06,0.0,0.02,0.73,541262.767,132019.087,114833.424,5480.094,1215.182,890.0,390.0,10.798983,1.319876,0.34114,0.079955,502.8,70.23,796.0905540000001,121.9187,674.171854,12.539954
26.2,351.47,8.0,21.38,4.04,32.43,52.65,14.92,0.24,0.07,0.06,0.01,0.0,0.38,472199.622,114640.733,109581.439,4728.342,1163.63,890.0,390.0,9.781412,1.195506,0.298908,0.070057,524.0,67.57,703.593766,115.863411,587.730355,11.345883
52.35,497.29,28.92,15.56,2.79,19.36,60.19,20.45,2.45,0.14,0.32,0.09,0.02,3.02,1019822.669,252439.079,151226.053,10689.22,1572.403,890.0,390.0,17.850048,2.181673,0.633777,0.148541,1047.0,80.64,1437.0294239999998,163.877676,1273.151748,20.814039
53.24,426.69,24.42,23.71,0.5,20.71,58.58,20.72,1.41,0.09,0.2,0.04,0.02,1.76,754686.288,185722.831,131063.457,7803.21,1374.492,890.0,390.0,13.943549,1.704212,0.471647,0.110542,1064.8,79.3,1081.930278,140.631159,941.299119,16.22995
35.6,401.08,13.97,25.48,1.12,28.11,51.87,20.02,1.44,0.11,0.09,0.05,0.01,1.7,658508.629,161521.654,123749.518,6756.316,1302.701,890.0,390.0,12.526474,1.531014,0.412835,0.096758,712.0,71.89,953.118818,132.198535,820.9202829999999,14.567081
55.66,438.74,24.16,19.61,0.95,27.61,55.79,16.6,2.36,0.14,0.25,0.05,0.02,2.82,799939.735,197109.953,134504.807,8295.794,1408.272,890.0,390.0,14.61031,1.785705,0.499319,0.117028,1113.1999999999998,72.39,1142.538561,144.598873,997.939688,17.012362
42.42,445.08,19.51,19.74,1.76,34.57,48.33,17.1,1.67,0.12,0.21,0.05,0.02,2.06,823749.433,203101.185,136315.442,8554.962,1426.044,890.0,390.0,14.96112,1.828582,0.513879,0.12044,848.4000000000001,65.43,1174.4270660000002,146.686448,1027.740618,17.424020999999996
65.47,534.81,24.53,15.95,1.37,20.02,62.17,17.81,3.77,0.26,0.3,0.12,0.05,4.5,1160728.009,287895.079,161941.359,12222.975,1677.582,890.0,390.0,19.926137,2.435417,0.719939,0.168736,1309.4,79.98,1625.745004,176.23191599999998,1449.513088,23.250229
66.51,478.92,19.09,13.12,1.8,26.83,57.4,15.77,2.16,0.19,0.41,0.09,0.03,2.88,950834.633,235079.625,145979.78,9938.285,1520.907,890.0,390.0,16.833584,2.057438,0.591591,0.138654,1330.2,73.17,1344.6332299999997,157.82897200000002,1186.804258,19.621267
47.76,412.07,17.84,17.23,2.34,24.89,52.83,22.28,1.26,0.11,0.18,0.03,0.01,1.59,699781.275,171907.087,126888.143,7205.568,1333.508,890.0,390.0,13.134582,1.605338,0.438073,0.102673,955.2,75.11,1008.395581,135.81721900000002,872.578362,15.280665999999998
50.23,527.94,18.22,15.99,3.46,27.68,54.15,18.17,3.17,0.2,0.36,0.06,0.03,3.83,1134927.911,281403.002,159979.362,11942.141,1658.323,890.0,390.0,19.546,2.388955,0.704163,0.165038,1004.6,72.32,1591.1907390000003,173.969826,1417.220913,22.804156
22.33,405.99,17.66,14.01,4.63,33.18,49.39,17.43,1.23,0.09,0.12,0.02,0.02,1.49,676948.0,166161.552,125151.761,6957.028,1316.465,890.0,390.0,12.798159,1.56422,0.424111,0.099401,446.6,66.82,977.814806,133.81525399999998,843.999552,14.885891
56.5,526.46,19.31,19.29,1.79,22.3,55.47,22.23,3.54,0.21,0.43,0.12,0.03,4.34,1129369.811,280004.418,159556.69,11881.641,1654.175,890.0,390.0,19.464107,2.378946,0.700764,0.164242,1130.0,77.7,1583.7467350000002,173.482506,1410.264229,22.708059
16.6,405.7,14.68,29.87,4.2,27.47,54.01,18.51,1.17,0.06,0.11,0.02,0.02,1.37,675858.913,165887.505,125068.94,6945.173,1315.652,890.0,390.0,12.782112,1.562259,0.423445,0.099245,332.0,72.52,976.356183,133.71976500000002,842.6364179999999,14.867060999999998
44.76,466.5,20.08,22.51,1.06,27.82,54.59,17.6,2.36,0.13,0.27,0.05,0.02,2.83,904191.661,223342.857,142432.762,9430.576,1486.09,890.0,390.0,16.14635,1.973443,0.563069,0.131969,895.1999999999999,72.19,1282.1639459999997,153.73942799999998,1128.424518,18.814831
51.51,510.06,24.09,19.02,2.24,19.54,60.38,20.08,2.41,0.18,0.34,0.09,0.03,3.06,1067780.057,264506.593,154873.027,11211.236,1608.201,890.0,390.0,18.556648,2.268035,0.663102,0.155415,1030.2,80.46000000000001,1501.2591139999995,168.08246400000002,1333.17665,21.6432
52.81,415.73,24.53,17.84,2.33,31.68,52.68,15.64,1.58,0.11,0.12,0.04,0.01,1.85,713526.305,175365.748,127933.4,7355.183,1343.768,890.0,390.0,13.337101,1.63009,0.446478,0.104643,1056.2,68.32,1026.8044040000002,137.022351,889.782053,15.518312
26.34,350.0,18.8,25.76,3.68,28.25,51.87,19.88,0.75,0.05,0.1,0.01,0.01,0.92,466679.077,113251.599,109161.623,4668.251,1159.51,890.0,390.0,9.700073,1.185565,0.295533,0.069266,526.8,71.75,696.20006,115.379384,580.8206759999999,11.250437000000002
62.46,500.99,17.54,18.35,1.93,21.62,55.18,23.2,3.34,0.17,0.38,0.12,0.04,4.05,1033717.918,255935.539,152282.733,10840.47,1582.775,890.0,390.0,18.05478,2.206695,0.642273,0.150533,1249.2,78.38,1455.6394349999998,165.095978,1290.543457,21.054281
51.36,507.73,27.23,7.85,0.95,28.79,55.09,16.12,2.83,0.16,0.36,0.05,0.02,3.4,1059029.805,262304.768,154207.604,11115.989,1601.669,890.0,390.0,18.427723,2.252277,0.657752,0.154161,1027.2,71.21000000000001,1489.539835,167.315262,1322.224573,21.491913
28.09,397.38,11.49,28.14,3.07,32.2,51.07,16.73,0.89,0.06,0.15,0.0,0.02,1.11,644613.379,158025.194,122692.838,6605.066,1292.328,890.0,390.0,12.321743,1.505991,0.404338,0.094767,561.8,67.8,934.508805,130.980232,803.5285729999999,14.326838999999998
39.68,467.84,15.13,12.8,2.18,23.67,60.01,16.32,2.0,0.11,0.19,0.06,0.02,2.38,909223.994,224609.143,142815.452,9485.353,1489.847,890.0,390.0,16.220496,1.982505,0.566146,0.132691,793.6,76.33,1288.903789,154.180652,1134.723137,18.901838
